,community,count
0,0,55
1,1,685
2,2,1188
3,3,409
4,4,1388
5,5,298
6,6,91
7,7,153
8,8,1060
9,9,14
10,10,802
11,11,851
12,12,171
13,13,251
14,14,465
15,15,3442
16,16,1381
17,17,214
18,18,325
19,19,147
20,20,503
21,21,517
22,22,935
23,23,547
24,24,411
25,25,539
26,26,329
27,27,216
28,28,171
29,29,801
30,30,14
31,31,868
32,32,243
33,33,24
34,34,145
35,35,70
36,36,106
37,37,274
38,38,119
39,39,243
40,40,125
41,41,35
42,42,195
43,43,141
44,44,1077
45,45,34
46,46,8
47,47,63
48,48,23
49,49,37
50,50,9
51,51,88
52,52,41
53,53,38
54,54,21
55,55,21
56,56,23
57,57,7
58,58,9
59,59,10
